image,x1,y1,x2,y2,label
orange_pos_01/orange_pos_001728_20260510_221840_362.png,112,74,188,144,orange
orange_pos_01/orange_pos_001729_20260510_221842_258.png,116,74,188,144,orange
orange_pos_01/orange_pos_001730_20260510_221842_638.png,81,70,192,142,orange
orange_pos_01/orange_pos_001733_20260510_221847_055.png,144,52,216,118,orange
orange_pos_01/orange_pos_001734_20260510_221848_950.png,145,71,228,150,orange
orange_pos_01/orange_pos_001735_20260510_221851_244.png,160,88,227,146,orange
orange_pos_01/orange_pos_001736_20260510_221853_277.png,148,158,224,226,orange
orange_pos_01/orange_pos_001737_20260510_221855_501.png,89,144,216,220,orange
orange_pos_01/orange_pos_001738_20260510_221855_897.png,95,126,188,204,orange
orange_pos_01/orange_pos_001739_20260510_221858_114.png,72,104,168,186,orange
orange_pos_01/orange_pos_001740_20260510_221859_808.png,88,28,188,108,orange
orange_pos_01/orange_pos_001741_20260510_221900_214.png,109,38,188,94,orange
orange_pos_01/orange_pos_001742_20260510_221902_127.png,137,38,204,86,orange
orange_pos_01/orange_pos_001743_20260510_221906_537.png,232,83,299,122,orange
orange_pos_01/orange_pos_001744_20260510_221906_910.png,241,72,304,110,orange
orange_pos_01/orange_pos_001747_20260510_221911_220.png,188,154,264,226,orange
orange_pos_01/orange_pos_001748_20260510_221911_582.png,188,163,256,214,orange
orange_pos_01/orange_pos_001749_20260510_221913_289.png,132,135,211,213,orange
orange_pos_01/orange_pos_001750_20260510_221913_704.png,128,136,203,204,orange
orange_pos_01/orange_pos_001752_20260510_221918_181.png,168,8,232,44,orange
orange_pos_01/orange_pos_001753_20260510_221920_182.png,136,32,207,73,orange
orange_pos_01/orange_pos_001754_20260510_221920_576.png,136,32,207,73,orange
orange_pos_01/orange_pos_001755_20260510_221924_595.png,80,56,174,140,orange
orange_pos_01/orange_pos_001756_20260510_221926_486.png,92,88,176,170,orange
orange_pos_01/orange_pos_001757_20260510_221927_060.png,76,88,201,172,orange
orange_pos_01/orange_pos_001758_20260510_221928_932.png,196,132,276,182,orange
orange_pos_01/orange_pos_001759_20260510_221929_320.png,204,117,282,178,orange
orange_pos_01/orange_pos_001761_20260510_221937_976.png,129,148,208,222,orange
orange_pos_01/orange_pos_001762_20260510_221938_464.png,129,148,208,222,orange
orange_pos_01/orange_pos_001763_20260510_221939_926.png,72,112,169,192,orange
orange_pos_01/orange_pos_001765_20260510_221940_344.png,81,112,168,190,orange
orange_pos_01/orange_pos_001766_20260510_221942_574.png,85,22,180,112,orange
orange_pos_01/orange_pos_001767_20260510_221946_684.png,192,78,275,150,orange
orange_pos_01/orange_pos_001768_20260510_221951_198.png,76,84,189,166,orange
orange_pos_01/orange_pos_001769_20260510_221953_428.png,76,62,160,146,orange
orange_pos_01/orange_pos_001770_20260510_221958_140.png,88,44,174,104,orange
orange_pos_01/orange_pos_001771_20260510_222000_112.png,157,46,241,126,orange
orange_pos_01/orange_pos_001772_20260510_222002_339.png,148,109,229,192,orange
orange_pos_01/orange_pos_001773_20260510_222004_679.png,120,170,214,240,orange
orange_pos_01/orange_pos_001774_20260510_222006_931.png,140,68,220,148,orange
orange_pos_01/orange_pos_001775_20260510_222007_324.png,140,68,220,148,orange
orange_pos_01/orange_pos_001777_20260510_222011_111.png,84,0,172,58,orange
orange_pos_01/orange_pos_001778_20260510_222011_634.png,84,0,172,58,orange
orange_pos_01/orange_pos_001779_20260510_222013_184.png,80,38,172,112,orange
orange_pos_01/orange_pos_001780_20260510_222013_799.png,80,42,171,128,orange
orange_pos_01/orange_pos_001781_20260510_222015_650.png,72,98,163,184,orange
orange_pos_01/orange_pos_001782_20260510_222016_282.png,76,112,163,196,orange
orange_pos_01/orange_pos_001783_20260510_222017_862.png,68,144,160,228,orange
orange_pos_01/orange_pos_001784_20260510_222020_536.png,140,144,224,226,orange
orange_pos_01/orange_pos_001785_20260510_222022_080.png,204,156,280,214,orange
orange_pos_01/orange_pos_001787_20260510_222026_813.png,192,52,268,94,orange
orange_pos_01/orange_pos_001788_20260510_222027_266.png,188,34,268,92,orange
orange_pos_01/orange_pos_001814_20260510_222111_582.png,88,20,142,56,orange
orange_pos_01/orange_pos_002015_20260510_222613_702.png,108,110,196,196,orange
orange_pos_01/orange_pos_002016_20260510_222616_016.png,204,198,280,240,orange
orange_pos_01/orange_pos_002018_20260510_222618_466.png,136,43,220,96,orange
orange_pos_01/orange_pos_002019_20260510_222620_619.png,128,92,211,169,orange
orange_pos_01/orange_pos_002020_20260510_222620_998.png,128,104,215,184,orange
orange_pos_01/orange_pos_002021_20260510_222622_768.png,200,89,278,140,orange
orange_pos_01/orange_pos_002025_20260510_222627_209.png,172,34,245,80,orange
orange_pos_01/orange_pos_002026_20260510_222629_816.png,72,132,202,220,orange
orange_pos_01/orange_pos_002027_20260510_222631_878.png,184,208,260,240,orange
orange_pos_01/orange_pos_002028_20260510_222634_254.png,108,132,195,218,orange
orange_pos_01/orange_pos_002029_20260510_222636_335.png,144,57,228,130,orange
orange_pos_01/orange_pos_002030_20260510_222636_695.png,144,57,228,130,orange
orange_pos_01/orange_pos_002031_20260510_222638_190.png,153,28,228,68,orange
orange_pos_01/orange_pos_002034_20260510_222642_840.png,184,124,267,208,orange
orange_pos_01/orange_pos_002035_20260510_222643_217.png,184,124,267,208,orange
orange_pos_01/orange_pos_002036_20260510_222645_071.png,140,162,226,240,orange
orange_pos_01/orange_pos_002037_20260510_222645_441.png,140,162,226,240,orange
orange_pos_01/orange_pos_002038_20260510_222647_668.png,77,96,168,182,orange
orange_pos_01/orange_pos_002039_20260510_222649_719.png,96,34,206,114,orange
orange_pos_01/orange_pos_002040_20260510_222650_094.png,96,34,206,114,orange
